lat,lon,irrigation_result,tmin,tmax,prcp,cropland,elevation_result,crop_name
43.062537012917105,-92.69922468971433,3,2.1500000953674316,17.90999984741211,0,176,310,Grassland/Pasture
43.29763627853365,-90.35101002033934,0,2.430000066757202,16.969999313354492,0,5,229,Soybeans
41.711574067939644,-91.4850006098606,3,2.690000057220459,18.850000381469727,0,121,242,Developed/Open Space
43.30011498555889,-90.78450817622486,4,2.740000009536743,16.260000228881836,0,141,319,Deciduous Forest
41.84743318972542,-96.11120467592386,1,1.5299999713897705,22.450000762939453,0,176,321,Grassland/Pasture
42.97773275897083,-96.58765096410035,4,0.10000000149011612,21.329999923706055,0,5,427,Soybeans
41.85219211746679,-94.5672443085028,3,1.590000033378601,20.329999923706055,0,5,331,Soybeans
40.76613095047155,-95.93795754056006,3,3.140000104904175,22.920000076293945,0,1,332,Corn
40.763337204409915,-95.08758602225072,3,1.9500000476837158,21.559999465942383,0,176,358,Grassland/Pasture
41.707279230109,-94.33960828323958,3,1.3700000047683716,20.209999084472656,0,176,318,Grassland/Pasture
42.99249924760658,-92.79858159349345,3,2.450000047683716,17.989999771118164,0,1,314,Corn
42.53889637873548,-94.72009151621167,1,2.7699999809265137,19.899999618530273,0,1,372,Corn
43.534824678328675,-93.39027185359494,3,2.869999885559082,17.049999237060547,0,176,386,Grassland/Pasture
41.06786691030904,-96.15954010118986,3,3.5,22.780000686645508,0,176,335,Grassland/Pasture
41.33112903213633,-90.27356323475362,3,4.340000152587891,19.360000610351562,0,1,228,Corn
43.13536173843379,-91.04284785931499,4,2.75,16.719999313354492,0,176,365,Grassland/Pasture
41.78565092856432,-91.08345475640517,3,2.450000047683716,18.299999237060547,0,5,234,Soybeans
40.691652311210206,-96.60683433552619,4,1.8200000524520874,23.959999084472656,0,176,410,Grassland/Pasture
40.63229197921213,-90.66179912404475,3,3.5799999237060547,20.010000228881836,0,1,228,Corn
41.25401323546152,-91.61835384535645,3,3.5299999713897705,19.8799991607666,0,1,227,Corn
43.333610749782956,-94.96012945234135,3,1.5099999904632568,19.18000030517578,0,5,435,Soybeans
41.06243026369397,-95.44200603431285,3,2.5199999809265137,22.149999618530273,0,121,335,Developed/Open Space
42.64255380598359,-94.37370007908382,3,2.5299999713897705,19.350000381469727,0,1,356,Corn
42.57050424142974,-95.01906820560261,3,2.430000066757202,20.25,0,5,378,Soybeans
40.71895819843473,-96.42278443335634,3,1.7599999904632568,23.719999313354492,0,176,385,Grassland/Pasture
42.85626702840472,-92.9052782730636,3,2.440000057220459,18.200000762939453,0,1,330,Corn
40.55950401308215,-92.56015396189775,4,4.610000133514404,20.3799991607666,0,176,288,Grassland/Pasture
41.89302190263553,-90.15349696580677,3,3.9600000381469727,19.420000076293945,0,190,184,Woody Wetlands
42.45138576437806,-95.39463127671041,3,1.9299999475479126,20.6200008392334,0,1,404,Corn
42.26646886492214,-95.09360318397653,3,2.5,20.40999984741211,0,5,370,Soybeans
43.37049209183038,-92.09920513097215,3,1.059999942779541,17.350000381469727,0,176,397,Grassland/Pasture
42.158701870694514,-94.82572159383224,3,2.430000066757202,20.18000030517578,0,5,379,Soybeans
42.85759084616798,-91.73886740602413,3,1.399999976158142,18.219999313354492,0,141,329,Deciduous Forest
41.064801250705145,-93.73155101405696,3,2.1600000858306885,20.190000534057617,0,176,337,Grassland/Pasture
42.9039788190613,-92.85044842099039,3,2.640000104904175,18.09000015258789,0,1,302,Corn
42.178698180160744,-92.32581390432719,3,1.7300000190734863,18.719999313354492,0,5,288,Soybeans
40.52083798734918,-94.62711979237667,2,2.3499999046325684,21.43000030517578,0,176,358,Grassland/Pasture
42.210940087749286,-91.63736094553782,3,1.4700000286102295,17.799999237060547,0,1,276,Corn
41.62097234418739,-92.92902714978473,3,2.5399999618530273,19.459999084472656,0,5,273,Soybeans
42.69956798120553,-92.2314942591048,3,1.6200000047683716,17.940000534057617,0,176,311,Grassland/Pasture
41.96227126277283,-91.25228308190904,3,1.9700000286102295,17.729999542236328,0,5,264,Soybeans
41.99130929478821,-96.34218067363238,3,1.0099999904632568,21.93000030517578,0,5,415,Soybeans
40.81399524413001,-91.8362466774666,4,4.630000114440918,20.670000076293945,0,5,227,Soybeans
40.56229253015566,-90.66981534759215,3,3.7799999713897705,20.09000015258789,0,1,216,Corn
42.66471205830599,-96.2393545105912,3,0.3700000047683716,21.690000534057617,0,5,377,Soybeans
40.588427248611694,-91.22312674160402,3,4.949999809265137,20.56999969482422,0,1,209,Corn
41.16351599113688,-95.05916480940424,3,1.6299999952316284,21.780000686645508,0,1,385,Corn
42.64362821766161,-95.38590005074575,3,1.6299999952316284,20.5,0,5,435,Soybeans
43.38740891300506,-95.29261158258844,3,1.190000057220459,19.799999237060547,0,1,446,Corn
40.97672899886909,-91.61048981792828,1,4.639999866485596,20.18000030517578,0,121,218,Developed/Open Space
42.019972441731404,-90.34296393819255,3,3.2799999713897705,18.43000030517578,0,5,249,Soybeans
40.880157950285934,-93.51172749419214,3,2.240000009536743,19.90999984741211,0,5,328,Soybeans
42.9294290220186,-90.93992279486066,3,3.2200000286102295,17.15999984741211,0,176,327,Grassland/Pasture
40.87942790396569,-90.65156941316155,3,3.5399999618530273,19.219999313354492,0,1,234,Corn
41.113045281472004,-94.32558817507534,3,2.1600000858306885,20.59000015258789,0,176,394,Grassland/Pasture
42.245929637407514,-94.9574623044598,3,2.5799999237060547,20.239999771118164,0,5,396,Soybeans
42.12335418727642,-92.39784142428967,3,1.840000033378601,19.040000915527344,0,121,279,Developed/Open Space
40.941944479541654,-95.14179598452428,3,1.8600000143051147,21.59000015258789,0,176,365,Grassland/Pasture
41.759058811463824,-96.54065751647396,3,1.590000033378601,22.3799991607666,0,176,380,Grassland/Pasture
